Key_Dataset,Key_Run,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules
'LoanStats-weka.filters.unsupervised.attribute.Remove-R49-57-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.Remove-R35-weka.filters.unsupervised.attribute.Remove-R13,32-35-weka.filters.unsupervised.attribute.Remove-R27-30-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1',1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.0140217004E7,851.0,3183.0,2963.0,220.0,0.0,93.08828149544455,6.911718504555451,0.0,0.7181972932839154,0.09142730165280014,0.23679706304429862,39.79799333120294,69.96750553176012,1791.2952481189861,972.9440055022391,818.3512426167471,0.5627694778884657,0.3056688675784603,0.25710061031000536,994.3020616217023,0.3123789072012888,175934.6083549219,0.9475208107129931,2618.0,0.17857142857142858,75.0,0.8214285714285714,345.0,0.05247918928700688,145.0,0.9721500185666543,0.9475208107129931,0.9596774193548387,0.721101872407755,0.9061467946977922,0.9637418359661283,0.9308828149544455,0.16193343281288097,0.838066567187119,0.0691171850455545,0.9367781297561897,0.9308828149544455,0.9330977845237066,0.721101872407755,0.902673602625186,0.9157974848847736,0.8589595887982985,0.9308828149544455,0.194,0.071,0.090238,0.068432,17830.0,231229.0,876885.0,97.64373232799247,57.697141061891294,'Number of leaves: 2\nSize of the tree: 3\n',3.0,2.0,2.0
'LoanStats-weka.filters.unsupervised.attribute.Remove-R49-57-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.Remove-R35-weka.filters.unsupervised.attribute.Remove-R13,32-35-weka.filters.unsupervised.attribute.Remove-R27-30-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1',2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.0140217004E7,851.0,3183.0,2982.0,201.0,0.0,93.68520263901979,6.314797360980207,0.0,0.7112221477464303,0.09904943002793086,0.23813149262181466,43.11587987886673,70.36179551004896,1791.2952481189873,1019.3106720254124,771.9845760935749,0.562769477888466,0.32023583789676796,0.24253363999169805,992.9529117145263,0.3119550460931594,175695.88596894598,0.9717698154180239,2685.0,0.29285714285714287,123.0,0.7071428571428572,297.0,0.02823018458197611,78.0,0.9561965811965812,0.9717698154180239,0.9639203015616585,0.7127132246149817,0.8849390947339848,0.9521239273138344,0.9368520263901979,0.2579393538293169,0.7420606461706831,0.06314797360980208,0.9345306798134319,0.9368520263901979,0.9353198598710586,0.7127132246149817,0.877649984326436,0.9051596399810526,0.8555450564412066,0.9368520263901979,0.056,0.021,0.040133,0.016585000000000003,17830.0,231229.0,876885.0,96.13572101790763,55.89066918001885,'Number of leaves: 2\nSize of the tree: 3\n',3.0,2.0,2.0
'LoanStats-weka.filters.unsupervised.attribute.Remove-R49-57-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.Remove-R35-weka.filters.unsupervised.attribute.Remove-R13,32-35-weka.filters.unsupervised.attribute.Remove-R27-30-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1',3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.0140217004E7,851.0,3183.0,2976.0,207.0,0.0,93.49670122525919,6.50329877474081,0.0,0.6955177572011043,0.08912508890467026,0.22200664140992327,38.79584795514198,65.59731236206426,1791.2952481189882,818.7997561393729,972.4954919796153,0.5627694778884663,0.2572415193651816,0.30552795852328474,995.6498989631508,0.3128023559419261,176173.09849181963,0.9746652189648932,2693.0,0.3261904761904762,137.0,0.6738095238095239,283.0,0.02533478103510677,70.0,0.9515901060070672,0.9746652189648932,0.9629894510995889,0.6989201843011497,0.9238124321389793,0.9730129824631917,0.9349670122525919,0.28649226947817485,0.7135077305218253,0.06503298774740811,0.9318119208034422,0.9349670122525919,0.9325381592089326,0.6989201843011497,0.9230128815881893,0.9362055301848733,0.8476008057567802,0.9349670122525919,0.108,0.035,0.027754,0.014446,18194.0,231229.0,876885.0,98.49198868991517,58.85956644674835,'Number of leaves: 3\nSize of the tree: 5\n',5.0,3.0,3.0
'LoanStats-weka.filters.unsupervised.attribute.Remove-R49-57-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.Remove-R35-weka.filters.unsupervised.attribute.Remove-R13,32-35-weka.filters.unsupervised.attribute.Remove-R27-30-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1',4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.0140217004E7,850.0,3184.0,2968.0,216.0,0.0,93.21608040201005,6.78391959798995,0.0,0.7243749639309782,0.09562375367936689,0.2336764205108395,41.60798404622588,69.05450814299446,1791.5075465558734,922.8209569726478,868.6865895832257,0.5626594053253371,0.28983070256678634,0.27282870275855076,981.0493759387118,0.3081185225938165,173451.24308785412,0.9475397973950795,2619.0,0.16904761904761906,71.0,0.830952380952381,349.0,0.0524602026049204,145.0,0.9736059479553903,0.9475397973950795,0.9603960396039604,0.7276261581916774,0.9092845513748191,0.9651273274391527,0.9321608040201005,0.15366862567263997,0.8463313743273599,0.0678391959798995,0.9383691859051438,0.9321608040201005,0.9344468077763429,0.7276261581916774,0.9060743668914276,0.9180065778291171,0.8620360942002296,0.9321608040201005,0.027,0.004,0.022643,0.003343,17830.0,230976.0,877138.0,97.77010050251256,57.75753768844221,'Number of leaves: 2\nSize of the tree: 3\n',3.0,2.0,2.0
'LoanStats-weka.filters.unsupervised.attribute.Remove-R49-57-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.Remove-R35-weka.filters.unsupervised.attribute.Remove-R13,32-35-weka.filters.unsupervised.attribute.Remove-R27-30-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1',5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.0140217004E7,850.0,3184.0,2997.0,187.0,0.0,94.12688442211055,5.873115577889447,0.0,0.7390749511812903,0.09580279145480358,0.21326513482942974,41.68588729324753,63.022700183019104,1791.5075465558782,733.1037789564297,1058.4037675994487,0.5626594053253386,0.230246161732547,0.3324132435927917,942.5024286033645,0.29601206928497625,166636.0754759686,0.9692474674384949,2679.0,0.24285714285714285,102.0,0.7571428571428571,318.0,0.030752532561505064,85.0,0.9633225458468176,0.9692474674384949,0.9662759242560865,0.7392829629858348,0.932705657561505,0.9783758232982135,0.9412688442211056,0.21487851963975343,0.7851214803602466,0.05873115577889447,0.940338539189748,0.9412688442211056,0.9407522945727523,0.7392829629858348,0.933846336396712,0.9437431932149801,0.8695292136468769,0.9412688442211056,0.037,0.003,0.024117999999999997,0.002835,18194.0,230976.0,877138.0,99.12060301507537,59.846105527638194,'Number of leaves: 3\nSize of the tree: 5\n',5.0,3.0,3.0
'LoanStats-weka.filters.unsupervised.attribute.Remove-R49-57-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.Remove-R35-weka.filters.unsupervised.attribute.Remove-R13,32-35-weka.filters.unsupervised.attribute.Remove-R27-30-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1',1,weka.classifiers.trees.J48,'-C 0.05 -M 2',-217733168393644444,2.0140217004E7,851.0,3183.0,2963.0,220.0,0.0,93.08828149544455,6.911718504555451,0.0,0.7181972932839154,0.09142730165280014,0.23679706304429862,39.79799333120294,69.96750553176012,1791.2952481189861,972.9440055022391,818.3512426167471,0.5627694778884657,0.3056688675784603,0.25710061031000536,994.3020616217023,0.3123789072012888,175934.6083549219,0.9475208107129931,2618.0,0.17857142857142858,75.0,0.8214285714285714,345.0,0.05247918928700688,145.0,0.9721500185666543,0.9475208107129931,0.9596774193548387,0.721101872407755,0.9061467946977922,0.9637418359661283,0.9308828149544455,0.16193343281288097,0.838066567187119,0.0691171850455545,0.9367781297561897,0.9308828149544455,0.9330977845237066,0.721101872407755,0.902673602625186,0.9157974848847736,0.8589595887982985,0.9308828149544455,0.015,0.003,0.015162,0.002709,17830.0,231229.0,876885.0,97.64373232799247,57.697141061891294,'Number of leaves: 2\nSize of the tree: 3\n',3.0,2.0,2.0
'LoanStats-weka.filters.unsupervised.attribute.Remove-R49-57-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.Remove-R35-weka.filters.unsupervised.attribute.Remove-R13,32-35-weka.filters.unsupervised.attribute.Remove-R27-30-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1',2,weka.classifiers.trees.J48,'-C 0.05 -M 2',-217733168393644444,2.0140217004E7,851.0,3183.0,2982.0,201.0,0.0,93.68520263901979,6.314797360980207,0.0,0.7112221477464303,0.09904943002793086,0.23813149262181466,43.11587987886673,70.36179551004896,1791.2952481189873,1019.3106720254124,771.9845760935749,0.562769477888466,0.32023583789676796,0.24253363999169805,992.9529117145263,0.3119550460931594,175695.88596894598,0.9717698154180239,2685.0,0.29285714285714287,123.0,0.7071428571428572,297.0,0.02823018458197611,78.0,0.9561965811965812,0.9717698154180239,0.9639203015616585,0.7127132246149817,0.8849390947339848,0.9521239273138344,0.9368520263901979,0.2579393538293169,0.7420606461706831,0.06314797360980208,0.9345306798134319,0.9368520263901979,0.9353198598710586,0.7127132246149817,0.877649984326436,0.9051596399810526,0.8555450564412066,0.9368520263901979,0.022,0.003,0.018393999999999997,0.002978,17830.0,231229.0,876885.0,96.13572101790763,55.89066918001885,'Number of leaves: 2\nSize of the tree: 3\n',3.0,2.0,2.0
'LoanStats-weka.filters.unsupervised.attribute.Remove-R49-57-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.Remove-R35-weka.filters.unsupervised.attribute.Remove-R13,32-35-weka.filters.unsupervised.attribute.Remove-R27-30-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1',3,weka.classifiers.trees.J48,'-C 0.05 -M 2',-217733168393644444,2.0140217004E7,851.0,3183.0,2976.0,207.0,0.0,93.49670122525919,6.50329877474081,0.0,0.6955177572011043,0.08912508890467026,0.22200664140992327,38.79584795514198,65.59731236206426,1791.2952481189882,818.7997561393729,972.4954919796153,0.5627694778884663,0.2572415193651816,0.30552795852328474,995.6498989631508,0.3128023559419261,176173.09849181963,0.9746652189648932,2693.0,0.3261904761904762,137.0,0.6738095238095239,283.0,0.02533478103510677,70.0,0.9515901060070672,0.9746652189648932,0.9629894510995889,0.6989201843011497,0.9238124321389793,0.9730129824631917,0.9349670122525919,0.28649226947817485,0.7135077305218253,0.06503298774740811,0.9318119208034422,0.9349670122525919,0.9325381592089326,0.6989201843011497,0.9230128815881893,0.9362055301848733,0.8476008057567802,0.9349670122525919,0.02,0.003,0.016857,0.0029089999999999997,18194.0,231229.0,876885.0,98.49198868991517,58.85956644674835,'Number of leaves: 3\nSize of the tree: 5\n',5.0,3.0,3.0
'LoanStats-weka.filters.unsupervised.attribute.Remove-R49-57-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.Remove-R35-weka.filters.unsupervised.attribute.Remove-R13,32-35-weka.filters.unsupervised.attribute.Remove-R27-30-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1',4,weka.classifiers.trees.J48,'-C 0.05 -M 2',-217733168393644444,2.0140217004E7,850.0,3184.0,2968.0,216.0,0.0,93.21608040201005,6.78391959798995,0.0,0.7243749639309782,0.09562375367936689,0.2336764205108395,41.60798404622588,69.05450814299446,1791.5075465558734,922.8209569726478,868.6865895832257,0.5626594053253371,0.28983070256678634,0.27282870275855076,981.0493759387118,0.3081185225938165,173451.24308785412,0.9475397973950795,2619.0,0.16904761904761906,71.0,0.830952380952381,349.0,0.0524602026049204,145.0,0.9736059479553903,0.9475397973950795,0.9603960396039604,0.7276261581916774,0.9092845513748191,0.9651273274391527,0.9321608040201005,0.15366862567263997,0.8463313743273599,0.0678391959798995,0.9383691859051438,0.9321608040201005,0.9344468077763429,0.7276261581916774,0.9060743668914276,0.9180065778291171,0.8620360942002296,0.9321608040201005,0.014,0.003,0.01453,0.002812,17830.0,230976.0,877138.0,97.77010050251256,57.75753768844221,'Number of leaves: 2\nSize of the tree: 3\n',3.0,2.0,2.0
'LoanStats-weka.filters.unsupervised.attribute.Remove-R49-57-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.Remove-R35-weka.filters.unsupervised.attribute.Remove-R13,32-35-weka.filters.unsupervised.attribute.Remove-R27-30-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1',5,weka.classifiers.trees.J48,'-C 0.05 -M 2',-217733168393644444,2.0140217004E7,850.0,3184.0,2997.0,187.0,0.0,94.12688442211055,5.873115577889447,0.0,0.7390749511812903,0.09580279145480358,0.21326513482942974,41.68588729324753,63.022700183019104,1791.5075465558782,733.1037789564297,1058.4037675994487,0.5626594053253386,0.230246161732547,0.3324132435927917,942.5024286033645,0.29601206928497625,166636.0754759686,0.9692474674384949,2679.0,0.24285714285714285,102.0,0.7571428571428571,318.0,0.030752532561505064,85.0,0.9633225458468176,0.9692474674384949,0.9662759242560865,0.7392829629858348,0.932705657561505,0.9783758232982135,0.9412688442211056,0.21487851963975343,0.7851214803602466,0.05873115577889447,0.940338539189748,0.9412688442211056,0.9407522945727523,0.7392829629858348,0.933846336396712,0.9437431932149801,0.8695292136468769,0.9412688442211056,0.018,0.004,0.015403,0.003041,18194.0,230976.0,877138.0,99.12060301507537,59.846105527638194,'Number of leaves: 3\nSize of the tree: 5\n',5.0,3.0,3.0
