Key_Dataset,Key_Run,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules
'LoanStats-weka.filters.unsupervised.attribute.Remove-R49-57-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.Remove-R35-weka.filters.unsupervised.attribute.Remove-R13,32-35-weka.filters.unsupervised.attribute.Remove-R27-30-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1',1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01402170038E7,425.0,3581.0,3355.0,226.0,0.0,93.68891371125385,6.311086288746161,0.0,0.716614469677658,0.08746080761231287,0.23946876263591776,38.09547089868509,70.72643879129463,2016.5775627618075,1176.5822715417462,839.9952912200613,0.5631325224132386,0.3285624885623419,0.23457003385089675,1181.8967605421878,0.3300465681491728,209461.5350933839,0.9687902187902188,3011.0,0.2727272727272727,129.0,0.7272727272727273,344.0,0.03120978120978121,97.0,0.9589171974522293,0.9687902187902188,0.9638284250960307,0.717192058542007,0.8895684618638849,0.9543225866350553,0.9368891371125384,0.24082619104959235,0.7591738089504078,0.06311086288746161,0.9352907291060302,0.9368891371125384,0.9359459672925474,0.717192058542007,0.882903301718482,0.90765308362592,0.8582818274276652,0.9368891371125384,0.106,0.12,0.082038,0.079016,17830.0,123451.0,984663.0,96.39765428651215,56.157497905612956,'Number of leaves: 2\nSize of the tree: 3\n',3.0,2.0,2.0
'LoanStats-weka.filters.unsupervised.attribute.Remove-R49-57-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.Remove-R35-weka.filters.unsupervised.attribute.Remove-R13,32-35-weka.filters.unsupervised.attribute.Remove-R27-30-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1',2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01402170038E7,424.0,3582.0,3364.0,218.0,0.0,93.9140145170296,6.085985482970408,0.0,0.7215177233436587,0.09763129843796248,0.23445923914759484,42.48524337872273,69.25495318293314,2016.791826817581,1127.2160503467205,889.5757764708605,0.5630351275314297,0.3146890146138248,0.24834611291760483,1135.3026715123049,0.316946586128505,200883.65355598318,0.9733033129623673,3026.0,0.2854122621564482,135.0,0.7145877378435518,338.0,0.02669668703763268,83.0,0.957291996203733,0.9733033129623673,0.965231259968102,0.7231148744301408,0.8884402983776241,0.9534064896542136,0.9391401451702959,0.2512490943643768,0.7487509056356232,0.060859854829704074,0.9368981113134344,0.9391401451702959,0.9376225411775823,0.7231148744301408,0.8813028918349154,0.9079219766952247,0.8606916926238719,0.9391401451702959,0.029,0.022,0.021453,0.018722000000000003,17830.0,123198.0,984916.0,96.23115577889448,55.87660524846454,'Number of leaves: 2\nSize of the tree: 3\n',3.0,2.0,2.0
'LoanStats-weka.filters.unsupervised.attribute.Remove-R49-57-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.Remove-R35-weka.filters.unsupervised.attribute.Remove-R13,32-35-weka.filters.unsupervised.attribute.Remove-R27-30-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1',3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01402170038E7,426.0,3581.0,3360.0,221.0,0.0,93.8285395141022,6.171460485897794,0.0,0.7329868757513319,0.09381158978912524,0.2305338399543585,40.5726245973545,68.14567482669776,2014.0829548394042,1062.7813156234452,951.3016392159591,0.5624358991453238,0.2967833888923332,0.2656525102529905,1152.317473017663,0.3217865046125839,201809.4010935778,0.96268896751367,2993.0,0.22245762711864406,105.0,0.777542372881356,367.0,0.03731103248633001,116.0,0.9661071659134925,0.96268896751367,0.9643950378604801,0.7330516182981548,0.9019176235175279,0.9603637403638483,0.938285395141022,0.19805405474599613,0.801945945254004,0.06171460485897794,0.9389190172497118,0.938285395141022,0.9385861344812462,0.7330516182981547,0.8968278655098703,0.9152685815430527,0.8664907126475174,0.938285395141022,0.026,0.02,0.014818,0.016471,17830.0,123704.0,984410.0,97.0678581401843,56.743926277576094,'Number of leaves: 2\nSize of the tree: 3\n',3.0,2.0,2.0
'LoanStats-weka.filters.unsupervised.attribute.Remove-R49-57-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.Remove-R35-weka.filters.unsupervised.attribute.Remove-R13,32-35-weka.filters.unsupervised.attribute.Remove-R27-30-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1',4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01402170038E7,426.0,3581.0,3307.0,274.0,0.0,92.34850600390952,7.651493996090477,0.0,0.7095264767110572,0.09771953924000704,0.23770201693909432,42.26277574363048,70.2645839551746,2014.0829548394063,1011.770512005835,1002.3124428335713,0.5624358991453243,0.28253854007423485,0.2798973590710894,1044.3360734667936,0.2916325254026232,182898.2398182569,0.9289160501769057,2888.0,0.11228813559322035,53.0,0.8877118644067796,419.0,0.07108394982309424,221.0,0.9819789187351241,0.9289160501769057,0.9547107438016529,0.7210544846383855,0.9153914495625111,0.96990847593609,0.9234850600390953,0.10685714545540981,0.8931428545445901,0.07651493996090478,0.9388396979468028,0.9234850600390953,0.9282026093845176,0.7210544846383855,0.9142587291098935,0.9204955373945726,0.8541539330519057,0.9234850600390953,0.019,0.004,0.010062,0.0037719999999999997,17830.0,123704.0,984410.0,98.51996648980732,58.936051382295446,'Number of leaves: 2\nSize of the tree: 3\n',3.0,2.0,2.0
'LoanStats-weka.filters.unsupervised.attribute.Remove-R49-57-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.Remove-R35-weka.filters.unsupervised.attribute.Remove-R13,32-35-weka.filters.unsupervised.attribute.Remove-R27-30-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1',5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01402170038E7,424.0,3582.0,3335.0,247.0,0.0,93.10441094360692,6.895589056393076,0.0,0.7218620618109455,0.09105978270767565,0.23988104208897676,39.62558208531335,70.85645419538069,2016.791826817579,35259.74138217954,-33242.94955536196,0.5630351275314291,9.843590558955762,-9.280555431424334,1121.774017384838,0.3131697424301614,198489.85537597837,0.9456416854293985,2940.0,0.1649048625792812,78.0,0.8350951374207188,395.0,0.05435831457060148,169.0,0.974155069582505,0.9456416854293985,0.9596866329361841,0.7256821233594805,0.9322592143341174,0.9773728869625453,0.9310441094360692,0.1503072865859519,0.8496927134140481,0.06895589056393077,0.937999955842675,0.9310441094360692,0.9335575806400329,0.7256821233594803,0.9304532720077348,0.9311927334254234,0.8607497774131257,0.9310441094360692,0.033,0.011,0.016759,0.00454,18922.0,123198.0,984916.0,97.15242881072027,57.45393634840871,'Number of leaves: 5\nSize of the tree: 9\n',9.0,5.0,5.0
'LoanStats-weka.filters.unsupervised.attribute.Remove-R49-57-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.Remove-R35-weka.filters.unsupervised.attribute.Remove-R13,32-35-weka.filters.unsupervised.attribute.Remove-R27-30-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1',1,weka.classifiers.trees.J48,'-C 0.05 -M 2',-217733168393644444,2.01402170038E7,425.0,3581.0,3355.0,226.0,0.0,93.68891371125385,6.311086288746161,0.0,0.716614469677658,0.08746080761231287,0.23946876263591776,38.09547089868509,70.72643879129463,2016.5775627618075,1176.5822715417462,839.9952912200613,0.5631325224132386,0.3285624885623419,0.23457003385089675,1181.8967605421878,0.3300465681491728,209461.5350933839,0.9687902187902188,3011.0,0.2727272727272727,129.0,0.7272727272727273,344.0,0.03120978120978121,97.0,0.9589171974522293,0.9687902187902188,0.9638284250960307,0.717192058542007,0.8895684618638849,0.9543225866350553,0.9368891371125384,0.24082619104959235,0.7591738089504078,0.06311086288746161,0.9352907291060302,0.9368891371125384,0.9359459672925474,0.717192058542007,0.882903301718482,0.90765308362592,0.8582818274276652,0.9368891371125384,0.012,0.018,0.011061999999999999,0.003216,17830.0,123451.0,984663.0,96.39765428651215,56.157497905612956,'Number of leaves: 2\nSize of the tree: 3\n',3.0,2.0,2.0
'LoanStats-weka.filters.unsupervised.attribute.Remove-R49-57-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.Remove-R35-weka.filters.unsupervised.attribute.Remove-R13,32-35-weka.filters.unsupervised.attribute.Remove-R27-30-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1',2,weka.classifiers.trees.J48,'-C 0.05 -M 2',-217733168393644444,2.01402170038E7,424.0,3582.0,3364.0,218.0,0.0,93.9140145170296,6.085985482970408,0.0,0.7215177233436587,0.09763129843796248,0.23445923914759484,42.48524337872273,69.25495318293314,2016.791826817581,1127.2160503467205,889.5757764708605,0.5630351275314297,0.3146890146138248,0.24834611291760483,1135.3026715123049,0.316946586128505,200883.65355598318,0.9733033129623673,3026.0,0.2854122621564482,135.0,0.7145877378435518,338.0,0.02669668703763268,83.0,0.957291996203733,0.9733033129623673,0.965231259968102,0.7231148744301408,0.8884402983776241,0.9534064896542136,0.9391401451702959,0.2512490943643768,0.7487509056356232,0.060859854829704074,0.9368981113134344,0.9391401451702959,0.9376225411775823,0.7231148744301408,0.8813028918349154,0.9079219766952247,0.8606916926238719,0.9391401451702959,0.014,0.003,0.013578,0.002875,17830.0,123198.0,984916.0,96.23115577889448,55.87660524846454,'Number of leaves: 2\nSize of the tree: 3\n',3.0,2.0,2.0
'LoanStats-weka.filters.unsupervised.attribute.Remove-R49-57-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.Remove-R35-weka.filters.unsupervised.attribute.Remove-R13,32-35-weka.filters.unsupervised.attribute.Remove-R27-30-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1',3,weka.classifiers.trees.J48,'-C 0.05 -M 2',-217733168393644444,2.01402170038E7,426.0,3581.0,3360.0,221.0,0.0,93.8285395141022,6.171460485897794,0.0,0.7329868757513319,0.09381158978912524,0.2305338399543585,40.5726245973545,68.14567482669776,2014.0829548394042,1062.7813156234452,951.3016392159591,0.5624358991453238,0.2967833888923332,0.2656525102529905,1152.317473017663,0.3217865046125839,201809.4010935778,0.96268896751367,2993.0,0.22245762711864406,105.0,0.777542372881356,367.0,0.03731103248633001,116.0,0.9661071659134925,0.96268896751367,0.9643950378604801,0.7330516182981548,0.9019176235175279,0.9603637403638483,0.938285395141022,0.19805405474599613,0.801945945254004,0.06171460485897794,0.9389190172497118,0.938285395141022,0.9385861344812462,0.7330516182981547,0.8968278655098703,0.9152685815430527,0.8664907126475174,0.938285395141022,0.029,0.003,0.015928,0.0030529999999999997,17830.0,123704.0,984410.0,97.0678581401843,56.743926277576094,'Number of leaves: 2\nSize of the tree: 3\n',3.0,2.0,2.0
'LoanStats-weka.filters.unsupervised.attribute.Remove-R49-57-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.Remove-R35-weka.filters.unsupervised.attribute.Remove-R13,32-35-weka.filters.unsupervised.attribute.Remove-R27-30-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1',4,weka.classifiers.trees.J48,'-C 0.05 -M 2',-217733168393644444,2.01402170038E7,426.0,3581.0,3307.0,274.0,0.0,92.34850600390952,7.651493996090477,0.0,0.7095264767110572,0.09771953924000704,0.23770201693909432,42.26277574363048,70.2645839551746,2014.0829548394063,1011.770512005835,1002.3124428335713,0.5624358991453243,0.28253854007423485,0.2798973590710894,1044.3360734667936,0.2916325254026232,182898.2398182569,0.9289160501769057,2888.0,0.11228813559322035,53.0,0.8877118644067796,419.0,0.07108394982309424,221.0,0.9819789187351241,0.9289160501769057,0.9547107438016529,0.7210544846383855,0.9153914495625111,0.96990847593609,0.9234850600390953,0.10685714545540981,0.8931428545445901,0.07651493996090478,0.9388396979468028,0.9234850600390953,0.9282026093845176,0.7210544846383855,0.9142587291098935,0.9204955373945726,0.8541539330519057,0.9234850600390953,0.036,0.003,0.008187,0.003099,17830.0,123704.0,984410.0,98.51996648980732,58.936051382295446,'Number of leaves: 2\nSize of the tree: 3\n',3.0,2.0,2.0
'LoanStats-weka.filters.unsupervised.attribute.Remove-R49-57-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.Remove-R35-weka.filters.unsupervised.attribute.Remove-R13,32-35-weka.filters.unsupervised.attribute.Remove-R27-30-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1',5,weka.classifiers.trees.J48,'-C 0.05 -M 2',-217733168393644444,2.01402170038E7,424.0,3582.0,3353.0,229.0,0.0,93.606923506421,6.393076493579006,0.0,0.7355571244813678,0.0958008603353134,0.22949558149872568,41.68870979241436,67.78877987563139,2016.791826817579,1014.703729469838,1002.088097347741,0.5630351275314291,0.2832785397738241,0.279756587757605,1126.7542353911706,0.314560088048903,199371.06918241177,0.9533612093920875,2964.0,0.17758985200845667,84.0,0.8224101479915433,389.0,0.04663879060791251,145.0,0.9724409448818898,0.9533612093920875,0.9628065616371609,0.7373888430842449,0.9104070817620893,0.9649464831078809,0.9360692350642099,0.16029787768057913,0.8397021223194209,0.06393076493579006,0.9402240558486267,0.9360692350642099,0.937688874509046,0.7373888430842449,0.9067944234906047,0.9195324303455771,0.867699209319077,0.9360692350642099,0.011,0.003,0.010879,0.0031230000000000003,17830.0,123198.0,984916.0,97.65494137353434,57.45393634840871,'Number of leaves: 2\nSize of the tree: 3\n',3.0,2.0,2.0
